Title,Age Rating,Characters,Date Created,Favourite,Influences,Last Edited,Locations,Main Emotion,Type
Warning Against Satan,SFW,,01/01/2005,No,Christianity,"December 12, 2025 5:40 PM",Void,Surprise,Normal
Carnivorous Plant Attacks A Woman In A Lab,SFW,"Carnivorous Plant, Scientists",01/01/2005,No,,"December 7, 2025 5:32 PM","Lab, Virtual/Videogame",Fear,Nightmare
Woman Journeys Through A Cave System-like Organism,SFW,"Explorers, Giant Organism",01/01/2005,No,,"December 7, 2025 5:31 PM","Body, Cave, Virtual/Videogame",Fear,Nightmare
Magic Soda Bottle Creates Money,SFW,,01/01/2010,No,,"December 10, 2025 1:15 AM",Home,Happy,Normal
Giant Spider Under A Rock,SFW,Spiders,01/01/2010,No,,"December 12, 2025 5:15 PM",Home,Fear,Nightmare
Unit Robbed,SFW,Family,01/01/2010,No,Personal Experiences,"December 12, 2025 5:15 PM",Home,Fear,Nightmare
Sick Neighbour Dragged On A Tricycle By Their Mum,SFW,"? Mico's Mum, Mico",01/01/2014,No,,"December 2, 2025 6:08 PM",Home,Surprise,Nightmare
Bathtub Blood Ritual Gone Wrong,SFW,"Friends (Fake), Ghosts",01/01/2014,No,Freemasonry,"December 12, 2025 6:25 PM",Room,Fear,Nightmare
Foam Block Currency,SFW,,01/01/2013,No,,"December 2, 2025 4:22 PM",Pier,Surprise,Normal
Obstacle Course To Heaven,SFW,Ghosts,01/01/2014,No,"Christianity, Personal Experiences","December 18, 2025 5:23 PM","Heaven, Obstacle Course, Space",Sad,Nightmare
Backyard Units Modernized,SFW,,01/01/2014,Yes,Personal Experiences,"December 12, 2025 6:24 PM",Home,Sad,Normal
Deranged Man At The Front Door,SFW,"Disembodied Voice, Misc People, Police",01/01/2014,No,,"December 12, 2025 6:20 PM",Home,Fear,Nightmare
Cube UFOs Hover In The Sky,SFW,Aliens,01/01/2017,No,,"December 12, 2025 8:30 PM",Home,Surprise,Normal
Neighbourhood Nuked,SFW,Family,01/01/2017,No,Indiana Jones And The Kingdom Of The Crystal Skull (2008),"December 12, 2025 8:30 PM",Home,Fear,Nightmare
Hesitant To Leave The Only Known City In Existence,SFW,"Inventor, Misc People",01/01/2017,Yes,Personal Thoughts,"December 13, 2025 4:40 PM","City, Void",Fear,Normal
Rescuing God From A Demonic Obelisk,SFW,"Abrahamic God, Dejan C, Demons, Michael C, Misc People",01/01/2017,Yes,Personal Thoughts,"December 12, 2025 8:29 PM","City, Heaven",Fear,Nightmare
Confessing Sins During WW3,SFW,Family,01/01/2017,Yes,,"December 13, 2025 10:42 PM",Home,Fear,Nightmare
Questioning Who God Knew Before Creation,SFW,Abrahamic God,01/01/2017,No,Personal Experiences,"December 12, 2025 8:33 PM",Void,Surprise,Normal
Rejected Experimental Robot Conquers Earth,SFW,"Robots, Scientists",01/01/2017,Yes,Steam Punks! (2013),"December 11, 2025 3:18 PM","Earth, Scrapyard",Fear,Nightmare
Questioning Why Christians Are Joyful,SFW,Misc People,01/01/2017,No,"Christianity, Personal Experiences","December 22, 2025 9:55 PM","Church, Heaven",Sad,Normal
Women Escape A Kidnapping,NSFW,"Criminals, Misc People",01/01/2014,Yes,Personal Experiences,"December 12, 2025 6:15 PM","Park, Suburb",Fear,Nightmare
Jayba’s Educational Journey On An Island,SFW,"Family, Vultures",12/01/2016,No,,"December 12, 2025 8:23 PM","Island, Virtual/Videogame",Happy,Normal
Held Hostage In A Remote Foster Home,SFW,"Misc People, Soldiers, Witch",19/09/2020,No,,"December 11, 2025 3:35 PM",Suburb,Fear,Nightmare
Escaping Giants Terrorising A City,SFW,"Family, Giants, Julien C, Misc People",10/07/2020,No,Personal Experiences,"December 14, 2025 4:29 PM","Botanical Garden, City, Hotel",Fear,Nightmare
PewDiePie Moves Into My Neighbourhood,SFW,"Neighbours (Fake), PewDiePie",09/12/2020,No,Online Videos,"December 13, 2025 6:49 PM","Home, Neighbourhood",Embarrassment,Normal
Managing An Amusement Park Gone Wrong,SFW,"Jimmy Neutron, Misc People, Musicians, Police, Tommy Pickles",17/12/2020,No,"Rugrats (1991), The Adventures Of Jimmy Neutron Boy Genius (2002)","December 19, 2025 6:32 PM","Amusement Park, Carpark, Shopping Mall",Happy,Normal
Visiting A 20 Storey Shopping Mall,SFW,"Family, Misc People",25/01/2020,No,,"December 5, 2025 4:38 PM",Shopping Mall,Fear,Normal
Reporting Toxic Fumes Left By Cleaners,SFW,"Family, Mrs Itsikson, Students, Teachers",10/01/2020,No,Personal Experiences,"December 18, 2025 5:27 PM","Resort, Secondary School",Fear,Normal
Chased By A Shapeshifting Velociraptor,SFW,"Misc People, Soldiers, Velociraptor",23/11/2020,No,Jerry Andrus’s Dragon Illusion,"December 12, 2025 9:00 PM",Home,Fear,Nightmare
Upsetting Criminals Playing Cricket,NSFW,"Aleksandr Orlov, Elves, Family, Mafia, Misc People, Mrs Claus, Santa, Sergei Orlov, Soldiers, Sullivan, Waiter, Workers",07/01/2021,No,"Commercials, Monsters Inc. (2001), Online Videos","December 13, 2025 6:50 PM",City,Fear,Normal
Haunted Church Funeral,SFW,"Ghosts, Grim Reaper",01/01/2020,Yes,Personal Experiences,"December 12, 2025 8:43 PM",Church,Fear,Nightmare
Hawaii Vacation Gone Wrong,SFW,"Church Staff, Family, Misc People",25/11/2021,Yes,,"December 12, 2025 9:28 PM","Airport, Church, City, Garage",Anger,Normal
Hiding In A Safehouse From Prehistoric Creatures,SFW,"Arthropleura, Misc People, Velociraptor",01/01/2021,No,"A Quiet Place (2018), Online Videos","December 13, 2025 6:49 PM",City,Fear,Nightmare
Demons Hide Objects,SFW,Demons,01/01/2021,No,Christianity,"December 12, 2025 9:07 PM",Home,Fear,Nightmare
Entering A Posthumanism Indoctrination Facility,SFW,"Brooke A, Dictators, Misc People, Satan",01/01/2017,Yes,"Christianity, Personal Experiences, Personal Thoughts","December 22, 2025 3:09 PM","Amphitheatre, Church",Fear,Nightmare
Bullet Ricochet Self-Defence Training,SFW,"Dejan C, Koalas, Komodo Dragon, Misc People",28/01/2021,No,,"December 3, 2025 1:59 PM","Home, Secondary School",Fear,Normal
Hospital Tentacle Monster,SFW,"Misc People, Soldiers, Tentacle Creature",07/05/2021,No,"Personal Experiences, Would I Lie To You? (2007)","December 12, 2025 9:27 PM","Highway, Hospital, TV Studio",Fear,Nightmare
Military Jets Attack Civilians During A Blackout,SFW,"Cashiers, Misc People, Soldiers",02/12/2022,No,,"December 11, 2025 5:14 PM","Military Base, Retail Strip, Supermarket",Fear,Nightmare
Authoritarian Escape Room Facility,SFW,"Family, Gothic Creature, Prisoners, Soldiers",24/10/2023,No,"Christianity, People Playground (2019), Personal Experiences, The Outlast Trials (2023)","December 13, 2025 4:48 PM","Escape Rooms, Facility",Fear,Nightmare
Autistic Brother Runs Away From Home,SFW,"Criminals, Family (Fake), Misc People, Witch",10/01/2023,No,Star Wars Battlefront II (2017),"December 12, 2025 9:47 PM","City, House, Theatre",Fear,Normal
Attacked By Strangers During A Walk,SFW,"Aliens, Criminals, First Responders, Misc People",19/09/2023,No,Personal Experiences,"December 12, 2025 9:54 PM",Home,Fear,Normal
Summoning A Demon Gone Wrong,NSFW,"Dejan C, Demons, Feminist, Ghosts, Goth, Julien C, Michael C, Misc People, Sam And Colby, Satanist, Soldiers, Students, Wolves",06/02/2023,Yes,"Online Videos, Personal Experiences","December 25, 2025 12:22 AM","Bus Station, City, Secondary School, Suburb",Fear,Nightmare
Scavenging An Abandoned Underground Facility,SFW,"Cats, Doctors, Misc People, Robots, Wolves, Zombies",29/11/2023,No,Lethal Company (2023),"December 12, 2025 10:14 PM","Facility, Hospital",Fear,Nightmare
Father Turns A Miscarriage Into A Cyborg,NSFW,"Criminals, Cyborgs, Misc People, Police",19/06/2024,Yes,Astro Boy (1963),"December 20, 2025 3:23 AM","Forest, Home, Police Station",Fear,Nightmare
Architecture Excursion Gone Wrong,SFW,"Alexander Armstrong, Students, Teachers",01/01/2024,Yes,"News, Personal Experiences","December 20, 2025 1:15 AM",City,Sad,Nightmare
Terminator Lair Infiltration,SFW,"Friends (Fake), Misc People, Robots",03/01/2024,No,"Siren Head (2018), Terminator (1984)","December 12, 2025 10:18 PM","Facility, Suburb",Fear,Normal
Hall Seating Construction Gone Wrong,SFW,"Brooke M, Jared K, News Reporters, Students, Teachers",06/09/2024,No,,"December 6, 2025 1:47 AM",Secondary School,Fear,Nightmare
Refugees Flee An Evil Military,NSFW,"Jackie Chan, Refugees, Soldiers",19/01/2024,No,,"December 3, 2025 5:14 PM","Desert, Harbour, Lab, Military Base",Fear,Nightmare
Escaping An Authoritarian Death Game Facility,SFW,"Dejan C, MatPat, Misc People",26/11/2024,No,"Online Videos, Squid Game (2021)","December 22, 2025 3:11 PM",Facility,Fear,Nightmare
Occult Meeting Gone Wrong,SFW,"Criminals, Cult Members",25/09/2024,No,,"December 11, 2025 9:44 PM",Castle,Fear,Nightmare
Preaching A Self-control Sermon,SFW,"Criminals, Misc People, Police, Prostitute",16/01/2024,Yes,Online Videos,"December 22, 2025 10:56 PM","Carnival, Church, Suburb",Bold,Nightmare
Accidentally Drinking Delicious Alcohol,SFW,Family,19/04/2024,No,,"December 11, 2025 7:03 PM",Home,Surprise,Normal
Falsely Accused Prostitute On A Cruise Ship,NSFW,"Misc People, Prostitute",06/02/2024,No,,"December 22, 2025 11:03 PM","Beach, Cruise Ship",Surprise,Normal
Soda Cup Toss Challenge Sports Day,SFW,"Family, Students, Teachers",11/06/2024,No,Personal Experiences,"December 11, 2025 7:13 PM","Home, Secondary School",Happy,Normal
Evil Talking Dog Tortures A Cat,NSFW,"Cats, Dogs",16/02/2024,No,,"December 11, 2025 6:19 PM",Secondary School,Fear,Nightmare
Heavy Fuels A Train To Escape Dragons,SFW,"Dragons, Heavy",22/01/2024,No,Team Fortress 2 (2007),"December 12, 2025 10:25 PM",Train,Fear,Nightmare
Indigenous Themed Sports Day,SFW,"Julien C, Students, Teachers",16/10/2024,No,Personal Experiences,"December 19, 2025 1:29 AM",Secondary School,Sad,Normal
TV Presenters Discuss A Sex Scandal Gone Wrong,SFW,TV Presenters,04/04/2024,No,News,"December 12, 2025 10:44 PM",Island,Surprise,Normal
Woody Is Framed And Hides In A Zoo,SFW,"Mrs Tweedy, Police, Woody",05/01/2024,No,Chicken Run (2000),"December 11, 2025 6:15 PM",Zoo,Fear,Nightmare
Neighbourhood Death Games By Aliens,SFW,"Aliens, Misc People",17/03/2024,No,"As The Gods Will (2014), Squid Game (2021)","December 12, 2025 10:42 PM","Arcade, Home, Neighbourhood",Fear,Nightmare
Hazmat Crew Cleans The School Toilets,SFW,"Hazmat Crew, Students",18/04/2024,No,Personal Experiences,"December 12, 2025 11:00 PM",Secondary School,Surprise,Normal
The Heart's Desire,SFW,"Disembodied Voice, Misc People",29/12/2024,Yes,Christianity,"December 13, 2025 1:17 AM",City,Surprise,Normal
Solving Hotel Puzzles To Reach “Heaven”,SFW,"Criminals, Explorers, Ghosts",05/07/2024,No,The Pilgrim's Progress (1678),"December 13, 2025 12:38 AM",Hotel,Happy,Normal
Winning A MrBeast Gameshow,SFW,"Misc People, MrBeast",15/06/2024,No,"Online Videos, Roblox (2006)","December 13, 2025 12:35 AM",Virtual/Videogame,Happy,Normal
Trip To A Honey Factory And Festival Cart Ride,SFW,"Family, Misc People",28/05/2024,No,Cart Ride (2008) (Roblox),"December 13, 2025 12:34 AM","Factory, Festival, Train",Happy,Normal
Scary Sushi Impossible Difficulty,SFW,"Aliens, Chefs, Hiroshi Kimura, Janitors, Norman",09/07/2024,No,Scary Sushi (2024) (Roblox),"December 13, 2025 12:45 AM",Virtual/Videogame,Happy,Normal
Escaping A Death Cult,SFW,"Abrahamic God, Family, Misc People, Police, Students, Teachers",04/04/2024,No,History,"December 20, 2025 1:53 AM","Secondary School, Suburb",Fear,Nightmare
Shrek Ferry Ride Scam,SFW,"Family, Gordon Ramsay, Misc People, Pilots",24/04/2024,No,"Hell's Kitchen (2005), News","December 13, 2025 12:31 AM","City, Harbour, Ocean, TV Studio",Anger,Nightmare
Stopping A Runaway Parked Coca-Cola Truck,SFW,Misc People,20/02/2024,No,,"December 3, 2025 5:52 PM",Neighbourhood,Surprise,Normal
Chased By A Wooden Effigy At A Bus Stop,SFW,"Effigy Creature, Misc People",16/03/2024,No,,"December 12, 2025 10:38 PM","Bus Stop, Suburb",Fear,Nightmare
Travelling Across A Volcanic Island Gone Wrong,SFW,"Black Creature, Explorers",17/08/2024,No,Lost Rooms (2022) (Roblox),"December 13, 2025 12:51 AM","Harbour, Suburb, Volcano",Fear,Nightmare
Magical Teacher Saves Remote Students,SFW,"Jodie Whittaker, Students, Teachers",30/09/2024,No,,"December 11, 2025 9:46 PM","Airport, Cave, Forest, Primary School",Anger,Nightmare
Entering The “Cloud 59” Parallel Dimension,SFW,"Bearded Dragon, Family, Gothic Creature",21/05/2024,No,,"December 4, 2025 1:10 AM","Home, Parallel Dimension",Fear,Nightmare
Hotel Backrooms With A Vine And Statue Monster,SFW,"Misc People, Statue Creature, Vine Creature",02/09/2024,No,"Doors (2021) (Roblox), Lost Rooms (2022) (Roblox), Skibidi Toilet (2023)","December 13, 2025 12:53 AM",Hotel,Fear,Nightmare
Adopted By A Dragoness And Aliens Invade A City,NSFW,"Aliens, Cats, Cows, Dragons, Misc People, The Grinch",25/03/2024,Yes,"Half Life (1998), Zoochosis (2024)","December 13, 2025 9:31 PM","City, Desert, Home",Fear,Nightmare
Flying To A Recruitment Centre Gone Wrong,SFW,"Mechanics, Misc People, Soldiers",18/07/2024,No,"Online Videos, Personal Experiences","December 13, 2025 6:50 PM","Automobile Repair Shop, Home, Neighbourhood, Recruitment Centre",Fear,Normal
Ignoring A Roadside Fire,SFW,"Family, Misc People",06/07/2024,Yes,,"December 11, 2025 7:20 PM",Secondary School,Sad,Nightmare
